time_points,initial_state,qfi_values,m_0_values,m_1_values,N,h,J,tau
90,PHYS,0.042012058304447965,0.45568091770470975,0.00016308427202282595,40,0.4,1.0,1.0
91,PHYS,0.04234256845429986,0.455680917704696,0.00016308427202307298,40,0.4,1.0,1.0
92,PHYS,0.042329651819848726,0.45568091770468094,0.00016308427202600082,40,0.4,1.0,1.0
93,PHYS,0.04231036018010528,0.4556809177046679,0.00016308427202567366,40,0.4,1.0,1.0
94,PHYS,0.04244647359774071,0.4556809177046537,0.00016308427202875176,40,0.4,1.0,1.0
95,PHYS,0.04264960088956227,0.4556809177046416,0.00016308427203140519,40,0.4,1.0,1.0
96,PHYS,0.04292670282108096,0.4556809177046254,0.0001630842720323409,40,0.4,1.0,1.0
97,PHYS,0.043296251043222496,0.4556809177046118,0.00016308427203175072,40,0.4,1.0,1.0
98,PHYS,0.04362416090912543,0.45568091770459773,0.00016308427203495167,40,0.4,1.0,1.0
100,PHYS,0.04420724763276975,0.4556809177045695,0.0001630842720383746,40,0.4,1.0,1.0
101,PHYS,0.04458338003107413,0.4556809177045559,0.00016308427203780423,40,0.4,1.0,1.0
102,PHYS,0.04473089990387198,0.45568091770454144,0.00016308427204120984,40,0.4,1.0,1.0
103,PHYS,0.0446194369233603,0.45568091770452906,0.00016308427204261584,40,0.4,1.0,1.0
104,PHYS,0.04451399287424543,0.4556809177045139,0.00016308427204461267,40,0.4,1.0,1.0
105,PHYS,0.04453347836112342,0.45568091770450103,0.00016308427204411724,40,0.4,1.0,1.0
107,PHYS,0.044598342145465895,0.4556809177044731,0.00016308427204833053,40,0.4,1.0,1.0
108,PHYS,0.044753591324871896,0.455680917704458,0.00016308427205065316,40,0.4,1.0,1.0
109,PHYS,0.04497145205542996,0.455680917704447,0.00016308427205285954,40,0.4,1.0,1.0
110,PHYS,0.04523763391545777,0.4556809177044294,0.00016308427205406067,40,0.4,1.0,1.0
112,PHYS,0.04581724952425934,0.45568091770440206,0.00016308427205688757,40,0.4,1.0,1.0
113,PHYS,0.045835094106368095,0.455680917704389,0.00016308427205794055,40,0.4,1.0,1.0
114,PHYS,0.045787790799498254,0.4556809177043738,0.00016308427206043855,40,0.4,1.0,1.0
116,PHYS,0.045980416618926295,0.45568091770434593,0.0001630842720629605,40,0.4,1.0,1.0
117,PHYS,0.046259041735079595,0.4556809177043342,0.00016308427206514765,40,0.4,1.0,1.0
118,PHYS,0.046602279685466576,0.45568091770431823,0.00016308427206653263,40,0.4,1.0,1.0
120,PHYS,0.04702234316781309,0.4556809177042898,0.0001630842720695861,40,0.4,1.0,1.0
121,PHYS,0.047179280981606175,0.45568091770427693,0.00016308427207030045,40,0.4,1.0,1.0
123,PHYS,0.04725456060482638,0.4556809177042493,0.0001630842720727832,40,0.4,1.0,1.0
124,PHYS,0.04715404961578417,0.45568091770423347,0.0001630842720755199,40,0.4,1.0,1.0
125,PHYS,0.04724218280959733,0.4556809177042214,0.00016308427207664222,40,0.4,1.0,1.0
127,PHYS,0.047353094798261636,0.4556809177041935,0.0001630842720788589,40,0.4,1.0,1.0
128,PHYS,0.04729112452354347,0.45568091770417773,0.00016308427208204523,40,0.4,1.0,1.0
130,PHYS,0.04736371319351422,0.45568091770415026,0.00016308427208472885,40,0.4,1.0,1.0
131,PHYS,0.04732876582286755,0.4556809177041365,0.00016308427208550858,40,0.4,1.0,1.0
133,PHYS,0.047689401812570566,0.45568091770410674,0.0001630842720852982,40,0.4,1.0,1.0
134,PHYS,0.04787440731796842,0.4556809177040943,0.00016308427209106024,40,0.4,1.0,1.0
136,PHYS,0.04804352327149475,0.4556809177040665,0.0001630842720944735,40,0.4,1.0,1.0
138,PHYS,0.04787321275348836,0.45568091770403807,0.0001630842720974801,40,0.4,1.0,1.0
139,PHYS,0.04783422283791326,0.45568091770402647,0.0001630842721000253,40,0.4,1.0,1.0
141,PHYS,0.048346883855284545,0.45568091770399777,0.00016308427210010024,40,0.4,1.0,1.0
142,PHYS,0.04847392284347135,0.45568091770398206,0.00016308427210380005,40,0.4,1.0,1.0
144,PHYS,0.04864845627643094,0.4556809177039548,0.00016308427210660754,40,0.4,1.0,1.0
146,PHYS,0.04838072509274829,0.4556809177039261,0.00016308427210995623,40,0.4,1.0,1.0
147,PHYS,0.0481091563964539,0.45568091770391084,0.00016308427210775037,40,0.4,1.0,1.0
149,PHYS,0.04790076329711988,0.45568091770388663,0.0001630842721133393,40,0.4,1.0,1.0
151,PHYS,0.04814166316090946,0.4556809177038582,0.0001630842721170811,40,0.4,1.0,1.0
153,PHYS,0.0481995990810942,0.4556809177038298,0.0001630842721197675,40,0.4,1.0,1.0
154,PHYS,0.04809817842262486,0.4556809177038148,0.00016308427212240105,40,0.4,1.0,1.0
156,PHYS,0.04813510721986181,0.4556809177037862,0.0001630842721254383,40,0.4,1.0,1.0
158,PHYS,0.047939778030298905,0.4556809177037591,0.00016308427212855526,40,0.4,1.0,1.0
160,PHYS,0.04794074817882288,0.45568091770373026,0.00016308427213173552,40,0.4,1.0,1.0
162,PHYS,0.04820808368862086,0.45568091770370306,0.00016308427213473643,40,0.4,1.0,1.0
164,PHYS,0.04809127923498265,0.4556809177036746,0.00016308427213819615,40,0.4,1.0,1.0
165,PHYS,0.04808606803048467,0.4556809177036625,0.000163084272137913,40,0.4,1.0,1.0
167,PHYS,0.047744900527198,0.455680917703633,0.00016308427214194732,40,0.4,1.0,1.0
169,PHYS,0.04728503809091438,0.45568091770360536,0.0001630842721432657,40,0.4,1.0,1.0
171,PHYS,0.04717754082975711,0.45568091770357944,0.00016308427214889497,40,0.4,1.0,1.0
173,PHYS,0.04728695612424735,0.45568091770355157,0.00016308427215321053,40,0.4,1.0,1.0
175,PHYS,0.04701331266290052,0.4556809177035225,0.00016308427215325772,40,0.4,1.0,1.0
177,PHYS,0.046820885871136364,0.4556809177034955,0.00016308427215626936,40,0.4,1.0,1.0
179,PHYS,0.04660998231181295,0.4556809177034677,0.00016308427216157328,40,0.4,1.0,1.0
181,PHYS,0.04662250979340005,0.4556809177034394,0.00016308427216483526,40,0.4,1.0,1.0
184,PHYS,0.046522431070072125,0.455680917703395,0.00016308427216875783,40,0.4,1.0,1.0
186,PHYS,0.046292326685945275,0.45568091770336727,0.0001630842721723924,40,0.4,1.0,1.0
188,PHYS,0.04596999217152188,0.45568091770333874,0.00016308427217512039,40,0.4,1.0,1.0
190,PHYS,0.04550674886575221,0.4556809177033115,0.00016308427217848198,40,0.4,1.0,1.0
192,PHYS,0.04530315866526791,0.4556809177032829,0.00016308427218149764,40,0.4,1.0,1.0
194,PHYS,0.045133414278865185,0.4556809177032556,0.00016308427218453305,40,0.4,1.0,1.0
197,PHYS,0.04480349070779111,0.4556809177032136,0.00016308427218638676,40,0.4,1.0,1.0
199,PHYS,0.044489038103853046,0.45568091770318964,0.00016308427219477328,40,0.4,1.0,1.0
201,PHYS,0.04440005347434476,0.45568091770316244,0.00016308427219355464,40,0.4,1.0,1.0
204,PHYS,0.04426716182938439,0.4556809177031189,0.00016308427220034852,40,0.4,1.0,1.0
206,PHYS,0.044065440448867704,0.4556809177030905,0.00016308427220304705,40,0.4,1.0,1.0
208,PHYS,0.043713795680755,0.4556809177030631,0.00016308427220622368,40,0.4,1.0,1.0
211,PHYS,0.04327545637972659,0.455680917703022,0.00016308427220925866,40,0.4,1.0,1.0
213,PHYS,0.04287804869321648,0.45568091770299624,0.00016308427221457255,40,0.4,1.0,1.0
216,PHYS,0.042688039417389446,0.4556809177029514,0.00016308427221870667,40,0.4,1.0,1.0
